"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Andrew Peeke","24-25","BOS","D",7,120.08,0,1,1,2,3,7,11,0.14,0,0,2,9,14,0,12,16,0,0,0,0,0,0,0,0
"Arber Xhekaj","24-25","MTL","D",5,67.72,0,0,0,0,5,7,15,0.21,0,0,3,5,8,1,10,10,1,0,0,0,-1,0,0,0
"Artem Zub","24-25","OTT","D",3,41.9,0,0,0,0,4,4,6,0.04,0,0,1,1,0,0,2,3,1,1,0,0,0,0,0,0
"Ben Chiarot","24-25","DET","D",6,129.32,0,2,0,2,7,9,17,0.21,0,0,2.33,14,9,1,9,6,5,1,0,0,-4,0,0,0
"Bowen Byram","24-25","BUF","D",8,164.47,0,2,1,3,4,10,12,0.68,0,0,6.8,10,5,2,7,10,1,0,0,0,-1,0,0,0
"Braden Schneider","24-25","NYR","D",6,116.02,2,0,1,3,13,17,25,0.73,15.38,11.76,4.29,10,10,2,3,13,1,0,0,0,-1,0,0,0
"Brady Skjei","24-25","NSH","D",6,126.25,1,0,1,2,21,23,29,0.79,4.76,4.35,3.43,7,10,5,2,3,3,2,0,0,-1,0,0,0
"Brandon Carlo","24-25","BOS","D",7,128.88,1,0,2,3,7,8,11,0.22,14.29,12.5,2.75,25,10,1,10,8,1,1,0,0,0,0,0,0
"Brandon Montour","24-25","SEA","D",7,169.62,1,2,1,4,28,41,60,1.65,3.57,2.44,4.02,7,9,2,10,15,3,0,0,0,-3,0,0,0
"Brandt Clarke","24-25","L.A","D",7,124.72,0,3,1,4,11,16,28,0.38,0,0,2.38,14,7,0,2,17,6,3,0,0,-3,0,0,0
"Brayden McNabb","24-25","VGK","D",7,130.07,1,1,0,2,12,13,14,0.42,8.33,7.69,3.23,12,9,1,10,11,4,3,0,0,-1,0,0,0
"Brayden Pachal","24-25","CGY","D",6,94.05,0,1,0,1,4,7,15,0.08,0,0,1.14,5,10,0,15,8,2,1,0,0,-1,0,0,0
"Brendan Smith","24-25","DAL","D",4,50.78,0,0,0,0,2,4,7,0.1,0,0,2.5,4,5,0,6,4,0,3,0,0,3,0,0,0
"Brenden Dillon","24-25","N.J","D",9,181.32,0,0,2,2,5,13,23,0.22,0,0,1.69,21,12,0,20,14,3,1,1,1,-2,0,0,0
"Brent Burns","24-25","CAR","D",5,106.9,0,0,0,0,10,16,25,0.59,0,0,3.69,10,9,3,3,2,2,1,0,0,-1,0,0,0
"Brett Kulak","24-25","EDM","D",7,115.35,2,0,1,3,11,15,24,1.08,18.18,13.33,7.2,11,8,3,1,7,1,0,0,0,-1,0,0,0
"Brian Dumoulin","24-25","ANA","D",6,113.95,0,2,0,2,10,13,17,0.49,0,0,3.77,16,4,3,9,10,1,3,0,0,2,0,0,0
"Brock Faber","24-25","MIN","D",6,153.43,0,1,2,3,7,9,17,0.36,0,0,4,5,7,0,3,9,0,2,0,0,2,0,0,0
"Cale Makar","24-25","COL","D",7,173.7,2,5,7,14,15,30,47,2.12,13.33,6.67,7.07,10,12,7,7,1,1,1,0,0,0,0,0,0
"Caleb Jones","24-25","L.A","D",2,32.38,0,0,0,0,4,5,8,0.07,0,0,1.4,2,2,0,3,5,1,0,0,0,-1,0,0,0
"Calvin De Haan","24-25","COL","D",6,102.15,0,0,1,1,10,14,23,0.21,0,0,1.5,18,5,1,7,7,1,0,0,0,-1,0,0,0
"Cam Fowler","24-25","ANA","D",6,130.35,0,1,0,1,4,4,12,0.37,0,0,9.25,9,4,0,1,3,1,1,0,0,0,0,0,0
"Cam York","24-25","PHI","D",6,138.47,2,1,0,3,9,12,15,0.53,22.22,16.67,4.42,10,4,5,6,17,2,0,0,0,-2,0,0,0
"Carson Soucy","24-25","VAN","D",6,116.72,0,0,0,0,5,8,11,0.1,0,0,1.25,6,7,3,4,13,2,0,0,0,-2,0,0,0
"Chad Ruhwedel","24-25","NYR","D",1,14.07,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0
"Charlie McAvoy","24-25","BOS","D",7,161.83,2,1,0,3,13,23,30,1.08,15.38,8.7,4.7,9,5,3,11,20,7,1,0,0,-6,0,0,0
"Chris Tanev","24-25","TOR","D",7,131.52,0,0,0,0,3,5,10,0.06,0,0,1.2,25,9,4,3,15,1,1,0,0,0,0,0,0
"Cody Ceci","24-25","S.J","D",7,156.3,0,0,1,1,10,11,17,0.57,0,0,5.18,11,6,0,9,6,3,0,0,0,-3,0,0,0
"Colin Miller","24-25","WPG","D",6,87.05,1,2,1,4,11,15,21,0.3,9.09,6.67,2,3,6,0,10,13,1,1,0,0,0,0,0,0
"Colton Parayko","24-25","STL","D",7,165.02,0,1,3,4,13,17,24,0.71,0,0,4.18,17,6,1,13,9,1,0,0,0,-1,0,0,0
"Connor Clifton","24-25","BUF","D",8,119.15,0,1,1,2,8,15,19,0.39,0,0,2.6,10,12,8,21,13,2,0,0,0,-2,0,0,0
"Connor Murphy","24-25","CHI","D",7,123.25,0,1,1,2,10,13,18,0.56,0,0,4.31,14,4,4,9,19,4,1,1,1,-3,0,0,0
"Conor Timmins","24-25","TOR","D",6,94.18,0,0,2,2,6,8,11,0.15,0,0,1.88,6,3,0,3,14,2,0,0,0,-2,0,0,0
"Daemon Hunt","24-25","MIN","D",1,8.02,0,0,0,0,2,3,5,0.04,0,0,1.33,2,0,1,1,0,0,0,0,0,0,0,0,0
"Damon Severson","24-25","CBJ","D",6,128.43,1,2,1,4,13,20,28,1.1,7.69,5,5.5,9,6,3,7,1,3,0,0,0,-3,0,0,0
"Daniil Miromanov","24-25","CGY","D",5,86.7,0,1,0,1,4,6,16,0.14,0,0,2.33,9,1,2,4,8,0,1,0,0,1,0,0,0
"Daniil Misyul","24-25","N.J","D",1,12.38,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"Dante Fabbro","24-25","NSH","D",4,53.92,0,0,0,0,6,8,12,0.16,0,0,2,4,7,1,1,3,0,0,0,0,0,0,0,0
"Darnell Nurse","24-25","EDM","D",7,145.02,0,1,1,2,15,22,35,0.84,0,0,3.82,13,5,0,8,5,0,0,1,1,0,0,0,0
"Darren Raddysh","24-25","T.B","D",5,82.17,0,1,0,1,5,15,23,0.55,0,0,3.67,1,4,0,1,13,1,0,0,0,-1,0,0,0
"David Jiricek","24-25","CBJ","D",2,23.78,0,0,1,1,0,0,3,0,0,0,0,1,1,0,2,3,1,2,0,0,1,0,0,0
"David Savard","24-25","MTL","D",7,125.78,0,0,1,1,4,7,8,0.13,0,0,1.86,17,7,1,5,5,0,2,0,0,2,0,0,0
"Declan Chisholm","24-25","MIN","D",4,61.5,0,0,0,0,4,4,9,0.08,0,0,2,1,6,2,1,13,0,0,0,0,0,0,0,0
"Dennis Gilbert","24-25","BUF","D",1,4.82,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0
"Derek Forbort","24-25","VAN","D",3,50.67,0,1,0,1,3,4,6,0.06,0,0,1.5,5,1,1,1,6,1,1,0,0,0,0,0,0
"Devon Toews","24-25","COL","D",3,65.8,0,0,1,1,3,3,8,0.13,0,0,4.33,4,1,1,1,4,2,0,0,0,-2,0,0,0
"Dmitry Kulikov","24-25","FLA","D",8,158.83,1,0,0,1,5,7,13,0.26,20,14.29,3.71,5,4,6,19,16,1,1,0,0,0,0,0,0
"Dmitry Orlov","24-25","CAR","D",5,101.1,0,1,1,2,7,11,16,0.29,0,0,2.64,4,9,2,12,4,1,0,0,0,-1,0,0,0
"Dougie Hamilton","24-25","N.J","D",9,206.08,1,1,1,3,32,42,64,1.42,3.12,2.38,3.38,16,21,2,10,15,1,2,0,0,1,0,0,0
